Label,File,Jf,Ja,Bandwidth,Power_dB,SubDataset,P2Median
AUV: Field Trials,leg1_straight_line_2_8m_s_6922_827-837.wav,0.4777072369530639,0.9497318822768328,2.0,-62.159714,,151.90660095214844
AUV: Field Trials,leg2_straight_line_1_8m_s_6922_840-857.wav,1.0,0.994285854075111,2.0,-62.575638,,7.202319622039795
AUV: Field Trials,leg3_straight_line_1_112m_s_6922_900-910.wav,0.999987358868419,0.9923374146961392,2.0,-62.221405,,5.89563512802124
AUV: Field Trials,leg1_straight_line_2_8m_s_6695_827-837.wav,0.9480654987982584,0.7380045091278357,5.0,-37.931385,,10.001806259155272
AUV: Field Trials,leg2_straight_line_1_8m_s_6695_840-857.wav,0.7831777795913321,0.731611595379469,3.0,-38.93253,,8.114173889160156
AUV: Field Trials,leg3_straight_line_1_112m_s_6695_900-910.wav,0.6038456025220059,0.6674236731050144,1.0,-38.64444,,4.436920166015625
AUV: Field Trials,leg1_Polygon_6922_921-929.wav,1.0,0.996939425210296,2.0,-56.16837,,2.405614137649536
AUV: Field Trials,leg2_Polygon_6922_934-955.wav,1.0,0.9963203791506716,2.0,-55.732468,,1.8594073057174685
AUV: Field Trials,leg1_Polygon_6695_921-929.wav,0.6853929598743544,0.8357324842968371,2.0,-38.384594,,3.4569430351257324
AUV: Field Trials,leg2_Polygon_6695_934-955.wav,0.5850844345450539,0.6348313756050571,1.0,-38.2645,,2.37058424949646
AUV: Field Trials,array_6ch.wav,0.7640578822102284,0.8938307243172088,2.0,-23.576427,,28.118328094482425
AUV: Field Trials,array_ch1.wav,0.7640578822102284,0.8938307243172088,2.0,-23.576427,,28.118328094482425
AUV: Field Trials,array_ch2.wav,0.975028423333336,0.9324364233224488,2.0,-27.297104,,22.349822998046875
AUV: Field Trials,array_ch3.wav,0.934991826578027,0.9134240569512156,3.0,-24.293674,,30.89318084716797
AUV: Field Trials,array_ch4.wav,0.8433114910496353,0.8652672948648097,22.0,-22.860289,,25.3070125579834
AUV: Field Trials,array_ch5.wav,0.859933208626295,0.919540998093738,3.0,-28.156036,,30.07286834716797
AUV: Field Trials,array_ch6.wav,0.763035745314029,0.7255476789494614,8.0,-20.010471,,19.383358001708984
AUV: Field Trials,array_6ch.wav,0.93914503236828,0.6265984053338395,26.0,-29.635822,,28.118328094482425
AUV: Field Trials,array_ch1.wav,0.93914503236828,0.6265984053338395,26.0,-29.635822,,28.118328094482425
AUV: Field Trials,array_ch2.wav,0.7147486774040499,0.8876235810835421,3.0,-29.446344,,22.349822998046875
AUV: Field Trials,array_ch3.wav,1.0,0.9955555316441864,2.0,-33.698566,,30.89318084716797
AUV: Field Trials,array_ch4.wav,0.7766022810694283,0.8460664280513258,5.0,-30.629446,,25.3070125579834
AUV: Field Trials,array_ch5.wav,0.8583861229246527,0.9378551770955575,2.0,-37.658066,,30.07286834716797
AUV: Field Trials,array_ch6.wav,0.7283621067271491,0.6599105382779502,11.0,-25.621315,,19.383358001708984
AUV: Field Trials,array_6ch.wav,0.889278082813285,0.7870719120541944,4.0,-28.632263,,28.118328094482425
AUV: Field Trials,array_ch1.wav,0.889278082813285,0.7870719120541944,4.0,-28.632263,,28.118328094482425
AUV: Field Trials,array_ch2.wav,0.8124739200619596,0.7727543692771371,2.0,-29.979774,,22.349822998046875
AUV: Field Trials,array_ch3.wav,0.9484750631659166,0.988825745429469,2.0,-30.820047,,30.89318084716797
AUV: Field Trials,array_ch4.wav,0.7464281392174016,0.8717411305093495,6.0,-28.764746,,25.3070125579834
AUV: Field Trials,array_ch5.wav,0.8909313263005819,0.8895482054181348,2.0,-35.73982,,30.07286834716797
AUV: Field Trials,array_ch6.wav,0.6782774900443519,0.681690311466406,24.0,-24.706774,,19.383358001708984
AUV: Field Trials,array_6ch.wav,0.9295332703023266,0.7132364595080043,9.0,-25.27671,,28.118328094482425
AUV: Field Trials,array_ch1.wav,0.9295332703023266,0.7132364595080043,9.0,-25.27671,,28.118328094482425
AUV: Field Trials,array_ch2.wav,0.8473819604928979,0.8943998084506787,3.0,-26.481335,,22.349822998046875
AUV: Field Trials,array_ch3.wav,0.9787114845938376,0.9915821117141422,2.0,-28.003952,,30.89318084716797
AUV: Field Trials,array_ch4.wav,0.8381976476924882,0.8611977719690502,3.0,-25.977016,,25.3070125579834
AUV: Field Trials,array_ch5.wav,0.9516654027190228,0.977607718389157,2.0,-32.8444,,30.07286834716797
AUV: Field Trials,array_ch6.wav,0.7555807152178041,0.5718828566144732,4.0,-22.259552,,19.383358001708984
AUV: Field Trials,array_6ch.wav,0.9289030901848316,0.9176650874474448,3.0,-31.614273,,28.118328094482425
AUV: Field Trials,array_ch1.wav,0.9289030901848316,0.9176650874474448,3.0,-31.614273,,28.118328094482425
AUV: Field Trials,array_ch2.wav,0.8752340342826637,0.8000956644015899,2.0,-33.832165,,22.349822998046875
AUV: Field Trials,array_ch3.wav,0.947522884417186,0.993216274208011,2.0,-33.320034,,30.89318084716797
AUV: Field Trials,array_ch4.wav,0.7797371410982299,0.868193007071045,2.0,-31.653242,,25.3070125579834
AUV: Field Trials,array_ch5.wav,0.9508644567235406,0.9860922095752578,2.0,-38.378994,,30.07286834716797
AUV: Field Trials,array_ch6.wav,0.7230919148096389,0.6899199543877335,64.0,-27.515238,,19.383358001708984
AUV: Field Trials,array_6ch.wav,0.8647662534124535,0.7132274379500726,18.0,-24.053791,,28.118328094482425
AUV: Field Trials,array_ch1.wav,0.8647662534124535,0.7132274379500726,18.0,-24.053791,,28.118328094482425
AUV: Field Trials,array_ch2.wav,0.989885764683648,0.9896437923976644,2.0,-28.9887,,22.349822998046875
AUV: Field Trials,array_ch3.wav,0.9077443025083975,0.9922425525438924,2.0,-25.89163,,30.89318084716797
AUV: Field Trials,array_ch4.wav,0.797439205448773,0.929716298381893,2.0,-24.94519,,25.3070125579834
AUV: Field Trials,array_ch5.wav,0.9796735146816185,0.9872205680635598,2.0,-30.034449,,30.07286834716797
AUV: Field Trials,array_ch6.wav,0.7216277082295542,0.6927364600730826,5.0,-21.27261,,19.383358001708984
AUV: Field Trials,array_6ch.wav,0.991447311549219,0.9802476898211177,2.0,-26.476845,,28.118328094482425
AUV: Field Trials,array_ch1.wav,0.991447311549219,0.9802476898211177,2.0,-26.476845,,28.118328094482425
AUV: Field Trials,array_ch2.wav,0.9787610619469026,0.9936537731048884,2.0,-31.88174,,22.349822998046875
AUV: Field Trials,array_ch3.wav,1.0,0.9972535101375144,2.0,-29.664604,,30.89318084716797
AUV: Field Trials,array_ch4.wav,0.970086637694188,0.9843011827588626,2.0,-28.116827,,25.3070125579834
AUV: Field Trials,array_ch5.wav,1.0,0.9940287279720604,2.0,-35.250305,,30.07286834716797
AUV: Field Trials,array_ch6.wav,0.8858014712535619,0.7315857691120368,5.0,-23.469398,,19.383358001708984
AUV: Field Trials,array_6ch.wav,0.9308660743978336,0.8049494374254704,12.0,-22.914593,,28.118328094482425
AUV: Field Trials,array_ch1.wav,0.9308660743978336,0.8049494374254704,12.0,-22.914593,,28.118328094482425
AUV: Field Trials,array_ch2.wav,0.4399235912129895,0.8432118213062931,2.0,-23.67186,,22.349822998046875
AUV: Field Trials,array_ch3.wav,1.0,0.9946515766557348,2.0,-26.810045,,30.89318084716797
AUV: Field Trials,array_ch4.wav,0.6829689256318213,0.8459935946501466,3.0,-24.642715,,25.3070125579834
AUV: Field Trials,array_ch5.wav,0.8828089752199894,0.9608172153823432,2.0,-32.028477,,30.07286834716797
AUV: Field Trials,array_ch6.wav,0.5797441811700567,0.7478407873984838,2.0,-20.73355,,19.383358001708984
Garda: Petrol Craft,1006.wav,0.5755993778338558,0.8061271057034861,4.0,-57.327835,,2.883711099624634
Garda: Petrol Craft,1008.wav,0.9241581520982124,0.955160410146188,4.0,-59.534725,,2.1951913833618164
Garda: Petrol Craft,1014.wav,0.9839033801153082,0.9184736208647638,3.0,-59.85163,,10.004947662353516
Garda: Petrol Craft,1028.wav,0.8140423773239025,0.8583464613002169,3.0,-57.69604,,6.946635723114014
Garda: Petrol Craft,1033.wav,0.9086000031238474,0.8219005605941166,12.0,-58.88022,,11.366342544555664
Garda: Petrol Craft,1037.wav,0.8558488419656193,0.8625047620633189,16.0,-57.951538,,19.73660659790039
Garda: Petrol Craft,1040.wav,0.8494784212777352,0.8738726949693311,22.0,-58.22438,,4.163692474365234
Garda: Petrol Craft,1044.wav,0.7780859858376684,0.8504534376588451,4.0,-54.217953,,6.065722465515137
Hear My Ship: Tour Boats,Tourboat_1_01.09.23_183403_20secCPA.wav,0.7107040985750169,0.912302625662406,3.0,-46.19196,,19.32367522068826
Hear My Ship: Tour Boats,Tourboat_1_02.09.23_073045_20secCPA.wav,1.0,0.9348164107437984,3.0,-51.61642,,10.802646524654262
Hear My Ship: Tour Boats,Tourboat_1_03.08.23_123640_20secCPA.wav,1.0,0.9313236931943788,3.0,-53.034805,,7.814227893814096
Hear My Ship: Tour Boats,Tourboat_1_03.09.23_093846_20secCPA.wav,1.0,0.9360932298652022,2.0,-52.2807,,12.795173710136128
Hear My Ship: Tour Boats,Tourboat_1_03.09.23_151547_20secCPA.wav,1.0,0.9844358991384572,2.0,-52.500443,,7.90864913987493
Hear My Ship: Tour Boats,Tourboat_1_04.09.23_094010_20secCPA.wav,0.9307692307692308,0.8793607071808694,2.0,-54.904816,,8.512820459270648
