Label,Jf,Ja,Bandwidth
Croatia: Diver & DPV,0.8540130887918197,0.3510578452518979,4.0
Croatia: Diver & DPV,0.8244961624963839,0.5856359958084748,14.0
Croatia: Diver & DPV,0.78579119117425,0.49351476667196464,12.0
Croatia: Diver & DPV,0.8225359953866013,0.4858425888203241,2.0
Croatia: Diver & DPV,0.8404103759919147,0.4969152678774534,10.0
Croatia: Diver & DPV,0.933455619839294,0.7607183712829602,18.0
Croatia: Diver & DPV,0.8973745153390741,0.7268677885975386,6.0
Croatia: Diver & DPV,0.9085053525815439,0.7510509928391033,4.0
Croatia: Diver & DPV,0.8002025348723957,0.5891973186352077,3.0
Croatia: Diver & DPV,0.9043729335231326,0.5252643352103242,45.0
Croatia: Diver & DPV,0.7118752663648672,0.6319052691846888,5.0
Croatia: Diver & DPV,0.8728212735108684,0.19455275291569,69.0
Croatia: Diver & DPV,0.9328181420567535,0.49911070791491813,15.0
Croatia: Diver & DPV,0.9891734973245954,0.7701435994088115,26.0
Croatia: Diver & DPV,0.9904174810784223,0.6951292496816778,12.0
Croatia: Diver & DPV,0.9425926202098176,0.8433673465237569,30.0
Croatia: Diver & DPV,0.8856178363804741,0.815315249615003,3.0
Croatia: Diver & DPV,0.9599569447171343,0.6916821671570741,3.0
Croatia: Diver & DPV,0.9522992117639081,0.8386908822942498,3.0
Croatia: Diver & DPV,0.9223455331912422,0.6150236605508506,3.0
Croatia: Diver & DPV,0.9666105140250293,0.6786110881951575,4.0
Croatia: Diver & DPV,0.9385195601301451,0.46961391743339803,3.0
Croatia: Diver & DPV,0.8363573700970134,0.6241842980016289,5.0
Croatia: Diver & DPV,0.9309938434041262,0.5362515148126725,4.0
Croatia: Diver & DPV,0.933367821376259,0.5496045325015454,5.0
Croatia: Diver & DPV,0.9668404814509574,0.6875719244375893,2.0
Croatia: Diver & DPV,0.929139684218118,0.7193002432881284,3.0
Croatia: Diver & DPV,0.9640022559894209,0.8387950150791167,28.0
Croatia: Diver & DPV,0.9836501430967974,0.817681137490205,17.0
Croatia: Diver & DPV,0.9538881095682847,0.7530786701618261,36.0
Croatia: Diver & DPV,0.8458281252690915,0.6406515789267694,4.0
Croatia: Diver & DPV,0.9960681563324613,0.8120282594505565,27.0
Croatia: Diver & DPV,0.9242477520888731,0.7583774641506533,16.0
Croatia: Diver & DPV,0.9279767153343208,0.6906924849717787,20.0
Croatia: Diver & DPV,0.8306645481370262,0.6718173940483704,11.0
Croatia: Diver & DPV,0.8276549100481286,0.7129223475659788,22.0
Croatia: Diver & DPV,0.8139013715887483,0.7602719275137693,6.0
Croatia: Diver & DPV,0.9965507657564018,0.7331682495372464,31.0
Croatia: Diver & DPV,0.9420727991663115,0.7750435458982281,51.0
Croatia: Diver & DPV,0.8957126087000793,0.8688799079367868,3.0
Croatia: Diver & DPV,0.9267004770638297,0.883082105682622,5.0
Croatia: Diver & DPV,0.8644117332935172,0.9186549409753243,52.0
Croatia: Diver & DPV,0.8930580277727937,0.8052462842658006,124.0
Croatia: Diver & DPV,0.8616925780756666,0.7999505065358123,9.0
Croatia: Diver & DPV,0.9336373279317393,0.7958534170507653,8.0
Croatia: Diver & DPV,0.994402775770117,0.7990263032763635,37.0
Croatia: Diver & DPV,0.9916835223531087,0.8336389818471037,24.0
Croatia: Diver & DPV,0.9436599507517536,0.8280339371608204,26.0
Croatia: Diver & DPV,0.932077506033593,0.671311634542518,7.0
Croatia: Diver & DPV,0.9118190284184552,0.627091563398006,5.0
Croatia: Diver & DPV,0.8361734079003055,0.8225584784338554,15.0
Croatia: Diver & DPV,0.8581588409918849,0.8384254009342008,11.0
Croatia: Diver & DPV,0.9523635875997988,0.8701677078319477,33.0
Croatia: Diver & DPV,0.98860265346973,0.8382417858671776,22.0
Croatia: Diver & DPV,0.8891738315938337,0.7875200702923485,29.0
Croatia: Diver & DPV,0.877423541826771,0.8700869123119207,22.0
Croatia: Diver & DPV,0.9785035057630815,0.8409047269772719,6.0
Croatia: Diver & DPV,0.8750690778708842,0.8153098281783905,10.0
Croatia: Diver & DPV,0.9067702475536695,0.8267212532492638,4.0
Croatia: Diver & DPV,0.9620347968588513,0.778191402917499,19.0
Croatia: Diver & DPV,0.9886049932357595,0.7553366492638579,30.0
Croatia: Diver & DPV,0.9550735443837234,0.8108492633370029,31.0
Croatia: Diver & DPV,0.9099673314783866,0.8095579696768027,9.0
Croatia: Diver & DPV,0.882190267844858,0.5836235054560203,12.0
Croatia: Diver & DPV,0.7064428223404698,0.7073669736610079,148.0
Croatia: Diver & DPV,0.798656528629909,0.715646920073938,146.0
Croatia: Diver & DPV,0.8060190734237153,0.7570375934577807,105.0
Croatia: Diver & DPV,0.7893102053350289,0.7176791381787951,158.0
Croatia: Diver & DPV,0.8072192208058814,0.6905113359949103,135.0
Croatia: Diver & DPV,0.8174547123030952,0.7597355676233856,152.0
Croatia: Diver & DPV,0.6919896405210061,0.7517810709541836,134.0
Croatia: Diver & DPV,0.7299482985335911,0.7255009346007784,4.0
Croatia: Diver & DPV,0.7878839597351996,0.7810989870598718,3.0
Croatia: Diver & DPV,0.8808615481284541,0.7668013637107786,4.0
Croatia: Diver & DPV,0.8589546323928062,0.7873097677100861,3.0
Croatia: Diver & DPV,0.830340321422086,0.7688561354776566,3.0
Croatia: Diver & DPV,0.9008304359185971,0.8272206636221836,3.0
Croatia: Diver & DPV,0.885493498795738,0.8424122082717339,3.0
Croatia: Diver & DPV,0.937926260001066,0.8801306535944494,3.0
Croatia: Diver & DPV,0.9207122465166301,0.9103899415104694,3.0
